text,label
ماشاء الله اليووم غير واحلي تررند,1
ولو فيه كان اكبر بلوك علي خشمه هذا الي ناقص,1
معرفكش بس باين عليك محترم و جدع و ف حالك و يلعن كسم ده تويتر,1
ياليتها تقرا، لي اثنين اابيات بعد الغروب ،بداية الشهر ذيا وتذكر احساسي لهاخص بالذات وتكتب مشاعرها،وتلمس كذيا,1
باذن الله بالاسبوع الاخير,1
اجازة والتبادل ودي بين اعضاء من الساعه صباح يوم الجمعه حتي يوم السبت الساعه صباحا,1
ان كلهم بلاد افريقيه,0
صباح الخير من نوم عميق لعطش شديد اسوء شي تكون نايم وتصحي عطشان وما في مويا جنبك، تضطر تقوم ويطير النوم النوم الخفيف زين شين,1
ااه لما تشتاقون لقرب شخص قدامك ومو قادر بعد ماكنت اقرب له من الرمشين,0
يا سلام عليك ياخ لكن لا انا لا هو حننفع نحنا مكاننا هو العيادات و المستشفيات,1
جينيونق كان يلعب بهذا الشي الي بيده ابرة للانف تنطوي وصار يطلع اصوات طيور بعدها التفت للكاميرا وادرك انهم قاعدي,0
لا يكلف الله نفسا الا وسعها لن يغلبك التعب لن يهلكك الحزن ارفع من صبرك قليلا وستدرك انك اكبر من ان تنهزم ب,1
واحد بخيل تزوج اول يوم اكل زوجته خبز و بصل ثاني يوم خبز و بصل ثالث يوم نفس الشي والرابع نفس الشيء خامس يوم جاب,0
من دعاء الرسول اللهم اني اعوذ بك من جهد البلاء ودرك الشقاء وسوء القضاء وشماتة الاعداء,1
وعد اجاوب نهايه الدوري,1
ربنا يقومك بالف سلامه يا بطل و ان شاء الله تكون ف افضل حال,1
مادري شلون اقول بس كلت الاثنين كورن فليكس وباستا والحين القولون يصايح علي,0
غياب الراحلين عنا مثل الاحلام نتذكره كل ماصحينا من النوم نتذكر تفاصيل الحياة معهم حتي تدمع العيون ويصيب القلب الم,0
هذا انا اشيله هو و الغراض انتبهوا عليه,1
حلو والله توني صحيت واتقلب لي ساعه قلت اطل عليكم,1
عندما تتخيلك فارسها وتتخيلها العوبه تضحك عليها وهي تبكي من اجلك انت لاتعرف معني الحب حقا انت لا تستحق البقاء حتي في باطن الارض,0
اللهجة الكويتيه انزين اوكي انزين براويك انزين شسوي لك انزين بعدين شنو صار انزين مندمج ف السالفة ومس,1
حظي كحظ الجار الثامن ، لم تشملني الوصية,0
ذا اللي خايفه منه,0
هنشيل خمسات كتير ع فكره,1
اكرمو من حولگم بكلمات جميله وافعال اجمل فلقد خلقنا لفتره,0
في البانيو مع حبيبتي,1
الواحد يرد يقول ايه بس لما اخوه و لا اخته يتكلموا عنه بكلام حلو يبقي عيب والله فعلا بس هي اكيد عا,1
الاتحاد مع اني لست من عشاقهم ثم تاتي البقية,1
مسا المربرب وسبتكم مربرب,1
لك وعيت ورحت وجيت,0
احبها كثر ماهي تستفز الغمام وفي كل الاحوال لبيها وفديتها ماكانت تعرف شي من الهوي والغرام وعلي يدي فالهوي وال,1
قطعت الظن بيك وماخذتني وياك,0
نقشة جلد الثعبان موضة هالصيفية حتي يصير اللوك من برا matching مع النفسيات اللي جوا,0
راسها اضيق مما يعتمل فيه من افكار وقلبها اصغر مما يموج فيه من عواطف داحمد خالد توفيق,1
من بركة القران ان الله تعالي يبارك في عقل قاريه وحافظه فعن عبد الملك بن عمير كان يقال ان ابقي الناس عقولا ق,0
يسعد صباحك وايامك بكل خير وسعادة,1
داخل الكتاب حصلت الفاصل عبارة عن لوحة منمنمة صغيرة ما قدرت اقراها وين اصحاب المخطوطات,0
والله عايلة معوقة ما تدري هم بيض ولا سود,1
ياقلبي حلم والله حلم,0
هاي جديدة هولا هولا بس حبيتها,1
تعلم كيف تغادر كل مكان لايستحقك,1
فصل دراسي في الهفوف عام م الطلاب يحضرون للمدرسة بالزي السعودي الكامل لاحظ البشوت معلقة,1
هاي من مدرستيايام مشمسه جددا,0
حط علامه في جبهتي يوم الخميس ويقول اذا راحت يوم السبت بعشيكم وقاعدين نحاول نخفيها,0
لو علم المقصر مع القران ما الذي ينتظره من نعيم حين يشرع في التلاوة ماتردد والله لحظة العاجز عن تلاوة ش,0
ولا بقفل ولا حاجة بس عارف معاك حق وهي كمان متعرفنيش وممكن لو شافتني وعرفتني معجبهاش اصلا سواء هي مرتبطه ولا لا,0
انا معرفش ليه بتكسف ابص ف عين حد وانا بكلمو,0
مجرد صداره موقته لا تودي ولا تجيب الدوري لا زال بيدنا ولا ننتظر تعثر احد ، فقط يانصر فوز في جميع مبارياتك الار,1
اللهم صيباا نافعا ممطر قوي,1
جعل يسقي يوم عاده بالوصل متجود,1
قولت عكس كده انا,0
يا صانع الساعات تقدر ترجع لي من العمر ساعات واعطيك كل اللي معي وما ملكته انا ماني غشيم انا اتغيشم واعرف ان اللي,0
كان يمدي اكثر والله,0
هذا هو حالي مع المطر اتذكرك اتخيلك ارسمك,0
اتامل القمر واعد النجوم واسولف للسماء عنك,1
جبرالله كسر قلبك وجمعك بها في دار كرامته ومستقر رحمته وغفر لها ولجميع موتي المسلمين,0
اهلا ياحلوه عندكم امطار ماشاءالله مين قدكم,1
خلوني اطلع من اختبار بكرا مرتاحه الضمير وضامنة شيء حلو هنا اججززت,0
اوف تستهزين بالحكومة الله يرحمك,0
صل علي النبي صلي الله عليه وسلم عليه افضل الصلاه والسلام,1
راح اكتب احبك جوة جفن العين حتة لو نمت متروح من بالي,1
ليروح و ينسانا الربيع,0
اصبر خل نشوف الليله يمكن نفوز,0
طبعا والله لايحرمني منهم هذي تنقلع بس احبها اضل احسن مڼڱ,1
لسة عندي امل يطلع خبر انو التغي الميد,0
لا لا النوم وقته غلط يارب ما انام ويفوتني كل شيء كالعادة,0
رتويت لو انت مواليد تسعينات وحلمك كان تشوف البلد حاكمها زول غير عمر البشير,1
المباراة القادمة مانشستر يونايتد v وستهام يونايتد بريميرليغ اولدترافورد السبت ابريل 30 بتوقيت,1
هناك فرق بين النقد والحقد و بين النصيحه والفضيحه و بين التوجيه والوصايه حياة الناس لم تدون باسمك لتخبرهم كيف يعيشون,0
صباح الخير صباحكم بدايہ جميله وطريق مفتوح وامنيات تتحقق و راحہ تدوم وسعاده وابتسامہ لا تزول,1
ليتني كنت معكم بفقرة ملك التكرار,0
يوما ما ستبدو فخورا بكل الصعاب التي واجهت النصر ، بكل لحظة خوف، توتر، قلق، سهر، ستبدو فخورا جدا بعبورك نحو القمه,1
تذكر امتحانات رسمية بتتعب نفسية طالب كيف مع كاميرات ؟ صفقات يا معالي الوزير مش ع حساب نفسية طلاب كاميرات مراقبة قال,1
الذي لا تضيع ودايعه وجعلكم الله من صوامه وقوامه يارب الله يتقبل الله منا ومنكم صالح الاعمال ولي عوده,1
قدر منو نميدوني كه,0
وكانما للصباح يد بيضاء تطبطب علي القلب بلطف وتمسح عليه بحب وتخبره ان في الحياة متسع للجمال للامال والاحلام,1
تطري الفرقا ولو كنت مزاح فيني من فراق المحبين ضيقه,0
ذولا رجال ولا حريم,0
يالله عسي كل دربك تساهيل درب السلامه وين مارحت تلقاه عسا عيونك ماتشوف البهاذيل وعساك تلقي بالزمن ماتتمناه,1
هه افحمتني يااسف والله خلاص موو مشكله خليل جلال والي هوو اهم شي متصدر,1
لي ولمن قال امين,1
قوتنا بعد الله دايما انتم الف مبرووك الحمد لله و الشكر له,1
لاعاد والله اني مب كذا,0
متداول غياب لاعب الاتحاد منصور الحربي عن لقاء النصر غدا,1
عن اقامة بين الاعضاء الاثنين في تمام وذلك,0
بدال النور وضوء الشمس ضحكه اختي لقلبي نور,1
عثرات الحياة ليست ضدك بل هي لاجلكلتعي ماهي الحياةلتفهم مواقف لم تكن تفهمهالتري اشياء لم تكن تراها,1
مش كدا عليك الله هم شكلهم نسوا الفات و ما مركزين ناس غريبيين وعاطفيين بزيادة اللزوم لكن ان شاء,0
التصويت٢ وكان لي هدفان الاول ان يشتغل المتفاعل مع التصويت بالقران للبحث عن الاجابة في محاولة للتدبر ومعرفة وق,0
انتو ليه مش قادرين تستوعبو ان طاقتي خلصت وكلامي قل ومبقتش ماسك ف اي حاجة والي يفضل يفضل والي يمشي عادي جدا,0
والله يعلم و انتم لا تعلمون كل التاخيرات في حياتك هي يعلمها الله، امرك له وثق به وهو سبحانه,1
مر اليوم التاسع افتقدة شخصيه عظيمه جدا اجمل نبض وجدت في حياتي الشخصيه ، لازلت ابعث لها رسايلي مثل كل يوم ولا زل,0
هه اتفرج اقول مب صدق طلعت من سنين لا ومغرد من بلاك بيري بعد،,1
لما خلصت طاقته بالاخير اه مستحيل اشوف وما اضحك,0
من كثر ماهي غاالية حييل حتي الضني من غيرها ما بغيتة ياجعل نهاية حبنا دبله,1
انا عمري ماهقدر انسي اي ذكري كانت معاه المحنة اخرها فرحة وبنتعلم الحياة هفضل واقف في صفه لاخر الزمان,0
هو انا مطولة واصير وزيرة التربية والتعليم,0
كل عام و انت بخير,1
العبادات ليست ثقيلة القلوب خربة,0
لخسارة وزنك بشكل طبيعي ما الك غير مجموعة كلين العيادة التخصصيه الرايدة في مج,0
منكونش ليه ع كيفنا واحنا متفارقين,0
ماينقال واضح ان الصفه ملاازمه,1
ادري اخرتها راح اتابع المباراه وانا مواصله,1
اذكر حديثا يدل علي فضل الوقف؟ شاركنا الاجابة في وسم وادخل معنا فرصة الفوز بجوايز قيمة,1
ميامي مب في امريكا ؟,0
ليش اذا تكلمت كثير احس اني بدوخ,0
بيسال عنك و يعطيك خبر,1
شكلك فكيت خيط علي,0
حززررننيي ضعيف ع نياته وهي قليلة ادب تقوله تشبه رابح وانا ماحط صورتي خلفيه وهو فااتتح فمه انا ليه شفته ياخون,0
غيبتك توجعني ، وانا الموجوع اللي يحب حضورك ان بنتي ٰ كيف امتلت عيني بعدك دموع ؟ وانا ما يملي عيني الا انتي,0
يا جدعان الرجاله اللي فوق ال دول خطر ع تويتر وربنا مش اسلوب كل يومين يدخلي واحد قد جدي علشان يشقطني و عند,0
حظ من ناظر عيونك وامتلي يومه جمال,1
احلي سيكشي وكيوتي بالعالم,0
مليون مبروك للابطال للمدرب البطل شكرا لباني هذا الصرح الشامخ وقلب الاهلي النابض,1
صح مثل رز بدون ملح,1
كلي ع بعضي غرام لك وحب زايد يفوق حب الناس لك انت بالذات كلي غزل لجلك وابيات شعر وقصايد وكلي رسايل شوق وحروف وابيات,1
اسف علي اللي صار واللي ماتوقعته يصير ، ماكان ودي تكون اخرتك مع قلبي كذا ،,0
في عصر يوم الجمعة ساعة استجابة وهي اخر ساعة من نهار يوم الجمعة ارفعوا ايديكم، وارسلو احلامكم لربكم ليستجي,1
ارح مسمعك بهذه التلاوة الخاشعة,1
هكذا هو المبدع تعدد مواهبه لم يحصره ع الاعمال و الصوت بل جعل منه رجل مسرح اشبه ب المام خبير في كل ما يحتاجه ال,1
مايحتاج كل هذا التوضيح من FIFA اصلا اصغر مشجع كروي وحتي الشخص اللي مايفهم كوره يعرف ان احتجاج الهلال صحيح لكن م,0
الحب الذي لايجلب السلام النفسي هو دمار وشقاء والحب من طرف واحد ضياع وهدر لصحه النفسيه,0
انا جملة شفتوها انا دخت ما شفت و لا جملة,0
IGWBFB ييسونغ يوم مشرق,1
، اجعلنا فيه ممن ي,1
الوالد الله يحفظه يقولي كيف تداومي والناس اجازة يا بوي ما شركتي هذا حكم القوي عالضعيف,0
نجيبها بالكورة يمكن تفهموا,0
علوم بالنسبالي تضرب اداب بالجزمة,0
مدافع الاهلي الي يستحق,1
ربي هناك قلوب اتمني لها الشفاء و ان يبتعد عنها الالم فاحفظها يارب، و ضعها بمامن من كل سوء,1
يوم ما سوف تشكر نفسك علي عدم الاستسلام,1
ذنبي ايه اصحي بدري يوم اجازتي اقعد فالبلكونة اتفرج ع العربيات,0
بنفس اليوم ماغير السيول سايله وتجين علي جال غدير وتتقهوين فله والله بس افضل الخروج والجو ماطر,1
كان صحيتي بعد هدف التعزيز,0
كبري كوبر قبل قليل,0
ٰ وعن ذكر الله لا تغفلون استغفر الله العظيم واتوب اليه صلوا علي النبي,1
الله يرحمه وجعل الجنه داره,0
حديث الي وم عقوبة الكذب عن سمرة بن جندب رضي الله عنه قال قال النبي رايت الليلة رج,1
ما بعرف ليش تذكرت الزنوج,0
عاد ناطرين وجبات الاطفاال هاذي احنا,0
ماما مقتنعة انه ابنه,1
ياشين اللي مسوين قافطيني وهم قافطيني فعلا,0
اللهم امين صباح النور والسرور,1
هه وش بك زعلتي المقصد وش هالعادة الي تخليكم تجلسون بالقصر لاخر الليل عندن,1
يارب كثر من الايام الماطرة,0
ماتحسفت بعته ب100 ريال بزنس مانلعب,1
الله يبارك فيك مع الزعيم لا نحس با احد غيره,1
يدعو للانضمام لعضويتنا الراقيۃ بقيادةبقيادة ،،,1
سكوادي مش اونلاين كلهم نبييهم,0
اي بالله مشكلة عويصة الصمون بس اللفة مالتك بيها نقص بالكص اشو عبالك سامبل مال كص,1
بما اني توني قاعده من النوم ومو قادره ارد انام اوصفيلي شكله,1
ب10ريال تساهم في كفالة الايتام,1
اذا كثرت فلوسي ولادري وين احططه هه,1
المسج دي من فترة و كل شوية بدخل اشوفها انا بحب صحابي جدا و بخاف عليهم و بخاف من حبي ليهم دا خايفة ف يوم اتحرم منهم,1
الله يرحمه و يغفر له و احسن الله عزاء عايلة بدران,0
يا الله شعور حلو حلو حلو ماني قادرة,0
انا قومت صليت واستغفرت ربنا منكو لله,1
السوال ما اسم السوره التي تبدا بقسم وتنتهي بحمد ؟ الشروط المتابعة رتويت للتغريده منشن,1
السبت النصر الاتحاد الاحد ليفربول تشيلسي الاثنين الاهلي الهلال الثلاثاء برشلونة اليونايتد اليوفي,0
في قانون العلاقات حين تجد الاعذار كثرت ، ابتعد,1
هذا اعتراف منك ان كلاتنبير كان مساعد الهلال,0
اذان الفجر بمقام الامام الرووف,1
بعد الشر يا عم الحاج في ايه,0
ف حاجات كتير حوليا تجنني وغيري فعلا بيتمنها عندي صاحبه مش عند حد عندي ناس فحياتي بيظهروا فاوقات غريبه بس حلوه,1
وحين يكون الامل بالله موجود لا وجود لشيء مستحيل,1
يوم الجمعه اجازه وراحه من الرتويت الاجباري ٰ والتبادل ودي بين الاعضاء من الساعه 0,0
هل تبحث عن انتصاب اقوي هل تعاني من سرعة في القذف امن لمرضي السكر والضغط مجموعه,0
الا يا ليت احطك ما بيين الرمش والعين,0
احسنيي بصيح وانا قاعده اشوف البنات الي يسون ستريم ست سبع ساعات,0
الاجازة خلصت و باجر كلية,0
لا ونت الصادق احب عبسي,0
واضح حبك مو قادره تخفينه,0
كلية طب وجراحة الفم والاسنان والبرزنتيشنات,0
ويلقب عليه التافه بزيادة ياسادة,1
اقعد داخل ولا برا انت مالك خص,0
ولاد الوسخااع مواليد بيقولولي يا عموو,0
مستعدون ان يصلوا الي مبتغاهم ولو بتقبيل الاحذية,0
لا تدري لعل الله يحدث بعد ذلك امرا سبحان الله,1
رغم الذبول الذي بداخلنا سنحاول نزهر مع الربيع الياسمين,0
الله قال ولا ترمو انفسكم في تهلكه,1
سمم بالله اخاف من البرق والرعد بس اجواء تجنن,0
فعلا ما فيه اي شي يوحي بان النصر قريب لكن لا نعلم الغيب لعل الله يحدث بعد ذلك امرا,0
يارب ياعالي انصر الاهلي الغالي,1
بانقتان خلصت الافكار عندهم قالوا نسرق من ووزي عمهم شافوا اغانيه تجيب راس الكوريين استغلوه,0
القلوب اللي نجيها ولا نلقي مكان لو تعرينا الليالي ما عاد نمرها,1
المعيوف انقذ زوران مادام عصير الليمون هذا مسموح فيه بدورينا ليش ما يعطون قوميز وادواردو منه,1
شكله وزاة التعليم العالي ما تحرص علي سلامة طلابها,0
اكثر مباراة توترت فيها يا اخوان حتي نهايي كاس ولي العهد وكاس الملك ما توترت فيها زي كذا,0
والله ان المنقبات والملتزمات بالحجاب افضل من الف وحده متحجبه تتريق علي النقاب وافضل منهم فكر وعقل هم,1
كيف بيلعب السباك سييرا مع النصر بخطة ولا بدون ؟,0
ما توقف الدنيا علي غيبه انسان شوف المقابر كم بها ناس غالين,1
لاول مره اتمني ولا واحد يفوز,1
بموت ضحك الكومنتز محد فاضي لهم صدق,0
بديت اشك في تجمع المهنيين,0
صداع صداع صداع من كلام السياسه الماقدره افهمو,0
زيكو يسعد صباحك بالخير والعافية,1
روحي من الصبر ملت وصاحت ومثلها ما انسبت حرة وصاحت علي التل اوكفت زينب وصاحت وناد,1
يصلح ما افسده زوران وينقذ الهلال من جديد ، عبدالله المعيوف ينعش امال الزعيم بقبضه من حديد ، لله درك يالمعيوف وحفظك,1
ماشاءالله تبارك الله الله يرزقني نفسه يارب العالمين,1
فاضي ؟ اكتب شي يقراه غيرك وتوجر عليه ، تحت التغريدة,1
مستحيل الشعر يوصف اي تفصيله فجمالك والغناء لو كان كفايه الف غنوه اغنيها لك,0
اسال الله ان يشفيك ويعافيك والف مبروك يالهلاليه الفوز وعقبال ماتفرحين بدوري باذن الله,1
اكيد تخصكم، ما يحتسب اذا دعاية,1
اللهم ابعد عنا من يغتابنا ومن يكرهنا ومن يخون طيبتنا ومن يستغل محبتنا ومن اراد بنا سوء رد كيده في نحره واشغله بنفسه وابعده عنا ياارب,1
انا من اكثر الناس حظي معدوم و التفكير يتعبني و احس المشكلة من هينا,0
اود ان اجلس علي الشاطي في الساعة 00 صباحا واستمتع بالهدوء وجمال البحر,1
من اشد انواع الظلم ان يلعب الظالم دور الضحية ويتهم المظلوم بانه ظالم,0
مخيرالله رييس ماتم ساعه وكان عايز يحمينا المرقة اماني لمي راجلك دا,0
كلاسيكو الف و كلاسيكو الف الاول ينافس علي مركز اسيوي الثاني ينافس علي البقاء هنا تنتهي المقارنة و يقفل باب,1
انا لله وانا اليه راجعون الله يصبرك ويرحمه ويغفرله ويعفوا عنه ويجعله في الفرد,0
فيه ياء ناقصه تلويك,1
هلا والله باللي يتغلو نوررتي التويتر كلله يا قلبي فقدنا طلتك,0
مفلح العتيبي كيت ستيوارت,1
مبقاش في الكلام ده خلاص,1
اختلفنا حول عدد الليالي المناسب والكافي لزيارة في ماليزيا في نظركم كم المده الكافيه لزيارتها؟ شارك,1
وال قالي هحارب الدنيا عشانك وعمري مهبعد عنك ده الشخص الوحيد الي اذاني ف حياتي والله,0
انا شايفة سيهون شدخل تشين,0
رجعولن جثة ثانية مكافية,1
سبحان الله وبحمده سبحان الله العظيم,1
صحيح بس البلاهة الموقف فات وانتهي من عشرمية سنه ضويية يرجع يتصدر الذاكرة لييش؟ بس عشان يصحصح النعسه ويطير النوم,0
تكفون راسي بينفجر من قوه الفخر الحمدالله ارمي,0
صباحالخير تذكر في كل اشراقة شمس ان الله قد اعطاك عمرا لبداية يوم جديد فاياك ان تياس ورب العباد موجود,1
لكل من يقرا ان يحدث لك شي جميل يغرق قلبك بالسعاده,1
ماعاد فيه سحي حب الشهره تخليك علي بطنك لاكن شهرتي ان ما طلعت عاري,1
عاشر بمعروف فانك راحل و اترك قلوب الناس نحوك صافية و اذكر من الاحسان كل صغيرة فالله لا تخفي علي,1
ههاي اسيل باقي عليها وحدتين,0
كان احلي اسبوع لكل مشجع ليفربولي لين مباراه تشيلسي والخساره الصادمه من افضل اسبوع الي اسوء اسبوع كروي مر علي بحياتي,0
يعلم الله اني احبها جدا ،،لكن المسافات كانت بيننا,0
عودة لا مرغوبة حينما يقررون الرحيل لا يلتفتون وراءهم يحزمون حقايب الجفاء، ويحجزون تذاكر اللامبالاة يجعلونا نتخ,1
لك حبيب تعال ناركل بقلك شو قدمنا,0
متبصش لنص الكباية الفاضي ، فضيها في كباية صغيره هتلاقيها مليانه بلا دوشة,0
سالم انت فنان بس لا تستعجل اركد مثل كاريللو وباذن الله كل هجمه هدف وانتم ابخص بحسين وخلاقينه,1
الفلوس تروح وتجي بس انت مره وحده عشان كذا احب الفلوس,0
الدنيا دين لاتخافين كل شيء بيرجع لاصحابه,0
ليه اليوم كييب كذا,0
انت تنطق باسمي واقول يا زين اسمي بحسك,1
كنت متوقعه ان اخر رحله مع دفعتي هتبقي حاجه تانيه خالص يلا خخير خيير خير قدر الله وماشاء فعل,0
شاهدة عيان السيدة فاطمة من دير ياسين تروي قصة المذبحة البشعة التي حصلت منذ عاما شاهدوا كيف تروي احداثها بحرقة,0
جاه واتس من حمر عين العويله من قالهم ارفعو لافته لا لتعصب في مباراة النصر ماهو طرف فيها بدا الشغل الثقيل,0
ربنا يفرحك بيهم انا بقول تخديهم تطلعهم رحلة للقناطر الخيرية,0
وكان من دعايه اللهم اجعلني مفتاحا للخير مغلاقا للشر، ولا تجعلني مفتاحا,1
يخبرونك من سار علي الدرب وصل ، لكن لا احد يخبرك بالقصة الكاملة القصة هي من سار علي الدرب تعثر و سقط، ت,1
يااه الموسم الجاي بنلعب بذي الاجواء الاروبية,1
الحمدلله الثوار في اجبروا ابن عوف بتنازل عن رياسة المجلس العسكري بعد ساعة فقط قبل ما يقولهم انتوا ما ت,1
ياليت الدنيا دايما مطر والله ما احس اني بزعل ولا بتضايق,0
ان كتبت لك احبك ؛؛ في وقت لم تتوقعه مني فاعلم باني احتاجك ، اشتاقك ، افتقدك,0
مهو دي تاني مرة الي انا مش واثق انها كانت حب و حاسس انها كانت مجرد تسرع و بعدين قولت هتم ده انت عارفني شخصيا بقي,0
انا بحب الناس اللي اسلوبها محترم ، اللي ف حالها وبتحترم الخصوصية ، اللي بتتعامل بطبيعتها ومبتحبش المنظرة ، اللي معن,1
حقي اني راس شيشه,0
والله من زمان عنك عبدالرحمن ويينك,0
الحمد لله علي نعمه التي لا تعد ولا تحصي والحمد لله الذي خلقنا وصورنا واحسن تصويرنا,0
وان بليت فكن صبورا سوف تفرج وانكسرت فلا تبالي فان الله يجبر القلوب,0
اعد النظر في حياتك وقلل من المعارك الصغيرة غير من طريقة تعاملك مع من حولك،، وادفع بالتي هي احسن وحاول ان تستمتع,1
ممكن تلاقي رجاالةة داخلين يقولولها اعتبرينا اختك الكبيرةة,0
مشوار مع ابومطلق وبوفيحان فنجال قهوه بصالحيه يغند الراس بس لابسين شمغ مزدوجين رسمي عسي مايشوفنه العم صالح الفضاله,0
هل يعقل باننا نشعر بنفس المشاعر لبعضنا وصامتين؟ شكلها خارسه,1
ليش تلف يمين ويسار بتوين خلك سيداا,0
سبحان الله ، والحمد لله ، ولا اله الا الله ، والله اكبر,1
كنت كيوت والله وانا صغير,1
يدعو من دول الخليج ،، للانضمام لعضويتنا الراقيۃ حساب ال,0
مسحيي التويتة بس والله,0
م اتوقع نفوز والدفاع م قد لعبو اساسية الا مباراة وحدة وقدام فريق سيء بعد لكن نقوول يارب,0
رفعت كفي نحو عطفك داعيا وعلمت انك لا ترد دعايي يا قاضي الحاجات ، يا كاشف الكربات ، يا مجيب الدعوات ، يا غاف,1
مبكلش بره بس انا بتعولق بالمنظر ده,0
كنت حاسه الوصخ ذا وين حماسي راح ع الفاضي,0
كل يوم نجرب اسم جديد لحد ما نكمل اسامي حروف العين عبود عمر البشير عبدالفتاح عوض نشو,0
نيتوو اوميديتو ماي فريندو عقبالي عقبالي,0
الحاج ضيوف علي هامش قرعة امم افريقيا لكوورة ريال مدريد افضل لصلاح وماني هل تتفق مع الاسطورة السنغالية؟,0
ملخص مباراة الاهلي الهلال,1
كلها بيض ولا راح اتابع شي منها,0
صدقت شكرا يا عابرة,1
الفهم صفر عندك ما ادري والله لحد الحين,0
لاول مره احس الارض تشبة صدري هالعصرية لان اراضينا عقب الشهور العجاف صارت رويانة والحياا والعشب وهماليل المطر تمليها ، ارتوت بعد شهوور,0
ما عندنا هنود احنا,0
قال لها انتي حلوه ولاضحكتي صرتي احلي اضحكي لاتحزنين لي معك موعد لقا وبتفرحين ثم رحل رحلت ذهاب بلا اياب و,0
ما من قلب يسامح الا عاش مرتاحا وما من نفس ترضي بالقدر الا باتت سعيدة وما من روح تردد الحمد لل,1
من يرفع هاشتاق بدايته اسم الضيف قبل المضيف في مباريات النصر اللي علي ارضه ؟؟,0
دام فيه ماني مشارك,0
وش ذا الايام خلصت بسرعه مابغي اتخرج,0
هذا ممكن يعوضنا حسم رونالدو,0
اخر مرا ادخل قيم مع حبايب طول القيم يسالون بعض شنو ناقصهم و انا طوفه بينهم,1
الفطور احلي من الفيو صراحة,0
ذولي متابعين ولا سم ؟,0
